Marketing;Marketing Analytics with Meta;Anke Audenaert;This course explores Meta Marketing Analytics Tools.  You’ll learn how the advertising platform works and you’ll learn to create ads using Meta Ads Manager.  Then, you’ll learn how Meta reports results and how you can customize the reports to match your business goals.  You’ll also learn how you can use Meta experiments to evaluate the effectiveness of your advertising campaign.  You’ll learn to optimize ads with A/B testing and you will explore how you can integrate data from Meta campaigns in marketing mix modeling. In this course, you’ll also find a summary of Meta’s recommended approach to data analysis.   SHOW ALL COURSE OUTLINE SHOW ALL;6845;89
Entrepreneurship;Brand Management: Aligning Business, Brand and Behaviour;Nader Tavassoli;Professor Nader Tavassoli of London Business School contrasts traditional approaches to branding - where brands are a visual identity and a promise to customers - to brands as a customer experience delivered by the entire organisation. The course offers a brand workout for your own brands, as well as guest videos from leading branding professionals.  SHOW ALL COURSE OUTLINE SHOW ALL;333744;6293
Marketing;Social Media Management;Anke Audenaert;This course equips you with critical content creation and management skills. You’ll learn how to create effective social media posts and how to create a strong brand to help you build a social media presence. You’ll also learn how to establish an ongoing process to manage your content. This includes setting up a content calendar, managing and moderating your posts, analyzing data for insights and iteration, and how to increase post effectiveness. You will end the course with real-world application of your skills through a content management project. SHOW ALL COURSE OUTLINE SHOW ALL;105397;3524
Marketing;Influencer Marketing Strategy;Greg Jarboe;Influencer marketing is the practice of engaging internal and industry experts with active networks to help achieve measurable business goals.  This course is about strategy. Although there is no all-purpose, one-size-fits-all influencer marketing strategy template, you will learn how to tailor one for a wide variety of B2B, B2C, and nonprofit organizations using the two-step flow model of communication.   But this course is also about tactics. I believe, “Strategy without tactics is the slowest route to victory. Tactics without strategy is the noise before defeat.” So, you will learn both in this 6-week long course.  Your final project for this course is to create a pitch deck for a social media influencer strategy. The purpose of your final project is to give you a concrete artifact that you can use to demonstrate your mastery of new competencies and skills to either the executives in your current organization or to prospective employers. SHOW ALL COURSE OUTLINE SHOW ALL;40358;163
Marketing;Brand Identity and Strategy;MARÍA EIZAGUIRRE DIÉGUEZ;Brand identity and Strategy is a IE Business School course for those professionals who are ready to adopt a creative approach to empowering brands. Students will go through a journey that starts with understanding what a brand is and how they can build successful ones, whilst simultaneously segmenting their consumers appropriately. The course explores positioning and its importance to successful brands looking at perceptual maps and the well-known iceberg model. It culminates in development of real brand houses, which can be applied to the working world, and how picking the right name, colors and logo can be instrumental to a brand’s success.  The course is delivered by Rhodes Scholar winning Professor, Dr Maria Eizaguirre, a member of IE Business School’s faculty. SHOW ALL COURSE OUTLINE SHOW ALL;49786;654
Business Strategy;Strategic Management;Robert Austin;"The world of business strategy is in transition. What used to work doesn't anymore -- not necessarily.  This course prepares you to think strategically in an age when companies like Apple, Google, and Microsoft have become more valuable (in market cap terms) than companies like Exxon. Today, business value and competitive advantage arise more often from consumer perceptions of what is ""cool"" than from physical assets or economies of scale.   In this course -- the first of a three-course specialization tailored specifically for the age of creativity and innovation -- you will gear up for the challenges of strategy formulation and implementation in a 21st century business.   After taking the course, you'll be able to: - Explain why ""doing"" strategy is considered ""the high point of managerial activity"" (Mintzberg); - Recognize and avoid the old, tired ideas about strategy that are still out there, so you can adopt fresher, better ideas; - Point out how doing strategy has changed because of advancing technology and globalization; - Prepare for the Capstone Project for the Strategic Management and Innovation Specialization SHOW ALL COURSE OUTLINE SHOW ALL";98504;4058
History;Storytelling in Branding and Content Marketing;Pedro Cifuentes Huertas;Storytelling in Branding and Content Marketing is an IE University course for professionals who want to learn how to produce memorable content through quality storytelling. Students will go through a learning process that will start with a deep understanding of the term Branded Content and its main differences with traditional advertising, simultaneously creating an effective storyline based on strong brand values and messages. The course analyses the production of quality journalism and explores how to create memorable and long-lasting connections with a given target audience in a world of constant content surplus. It concludes with a deeper insight into the term of Brand Entertainment, giving them the opportunity to amplify their knowledge about how to produce a good call to action and retain the audience's attention.;22183;228
Marketing;Introduction to Social Media Marketing;Anke Audenaert;This course lays the foundation of social media marketing. You’ll learn what social media marketing entails, including the history and the different social media channels that exist. You’ll learn how to select a social media channel that fits your needs, set goals and success metrics, and determine who your target audience is. By the end of this course, you will be able to:  • Understand the landscape of traditional, digital, and social media marketing • Understand how to become certified as a Digital Marketing Associate  • Understand the major social media platforms, how they function, and what role they play in marketing • Create SMART goals and identify KPIs • Define your target audience and their customer journey • Choose the right social media platforms and learn how to create social media policies  Whatever level of knowledge you start with, this course will help you build a solid foundation for social media marketing and gain applicable skills that will allow you to make your social media marketing efforts more successful and noticeable.  Learners don't need marketing experience, but should have basic internet navigation skills and be eager to participate and connect in social media.  Learners must have a Facebook account and an Instagram account helps. SHOW ALL COURSE OUTLINE SHOW ALL;262525;9818
Marketing;Principles of Public Relations;Erin Willis;In this course, learners are exposed to an overview of public relations principles and theories relevant to practice. You will explore the field, including the origin and trends affecting the future of the industry as well as how to land a job in public relations. This course provides a broad overview of working in public relations and how different tenets of persuasion are used in practice. The course also addresses ethical implications of public relations.;5942;178
Personal Development;Creative Thinking: Techniques and Tools for Success;Peter Childs;In today’s ever-growing and changing world, being able to think creatively and innovatively are essential skills. It can sometimes be challenging to step back and reflect in an environment which is fast paced or when you are required to assimilate large amounts of information. Making sense of or communicating new ideas in an innovative and engaging way, approaching problems from fresh angles, and producing novel solutions are all traits which are highly sought after by employers. SHOW ALL COURSE OUTLINE SHOW ALL;251139;3675
